"","gs_name","gene_symbol","ensembl_gene"
"1","BIOCARTA_41BB_PATHWAY","ATF2","ENSG00000115966"
"2","BIOCARTA_41BB_PATHWAY","CHUK","ENSG00000213341"
"3","BIOCARTA_41BB_PATHWAY","IFNG","ENSG00000111537"
"4","BIOCARTA_41BB_PATHWAY","IKBKB","ENSG00000104365"
"5","BIOCARTA_41BB_PATHWAY","IL2","ENSG00000109471"
"6","BIOCARTA_41BB_PATHWAY","IL4","ENSG00000113520"
"7","BIOCARTA_41BB_PATHWAY","JUN","ENSG00000177606"
"8","BIOCARTA_41BB_PATHWAY","MAP3K1","ENSG00000095015"
"9","BIOCARTA_41BB_PATHWAY","MAP3K5","ENSG00000197442"
"10","BIOCARTA_41BB_PATHWAY","MAP4K5","ENSG00000012983"
"11","BIOCARTA_41BB_PATHWAY","MAPK14","ENSG00000112062"
"12","BIOCARTA_41BB_PATHWAY","MAPK8","ENSG00000107643"
"13","BIOCARTA_41BB_PATHWAY","NFKB1","ENSG00000109320"
"14","BIOCARTA_41BB_PATHWAY","NFKBIA","ENSG00000100906"
"15","BIOCARTA_41BB_PATHWAY","RELA","ENSG00000173039"
"16","BIOCARTA_41BB_PATHWAY","TNFRSF9","ENSG00000049249"
"17","BIOCARTA_41BB_PATHWAY","TNFSF9","ENSG00000125657"
"18","BIOCARTA_41BB_PATHWAY","TRAF2","ENSG00000127191"
"19","BIOCARTA_BARRESTIN_SRC_PATHWAY","ADCY1","ENSG00000164742"
"20","BIOCARTA_BARRESTIN_SRC_PATHWAY","ARRB1","ENSG00000137486"
"21","BIOCARTA_BARRESTIN_SRC_PATHWAY","DNM1","ENSG00000106976"
"22","BIOCARTA_BARRESTIN_SRC_PATHWAY","FGR","ENSG00000000938"
"23","BIOCARTA_BARRESTIN_SRC_PATHWAY","GNAS","ENSG00000087460"
"24","BIOCARTA_BARRESTIN_SRC_PATHWAY","GRK2","ENSG00000173020"
"25","BIOCARTA_BARRESTIN_SRC_PATHWAY","HCK","ENSG00000101336"
"26","BIOCARTA_BARRESTIN_SRC_PATHWAY","HRAS","ENSG00000174775"
"27","BIOCARTA_BARRESTIN_SRC_PATHWAY","HRAS","ENSG00000276536"
"28","BIOCARTA_BARRESTIN_SRC_PATHWAY","KCNA1","ENSG00000111262"
"29","BIOCARTA_BARRESTIN_SRC_PATHWAY","KCNA2","ENSG00000177301"
"30","BIOCARTA_BARRESTIN_SRC_PATHWAY","KCNA3","ENSG00000177272"
"31","BIOCARTA_BARRESTIN_SRC_PATHWAY","MAP2K1","ENSG00000169032"
"32","BIOCARTA_BARRESTIN_SRC_PATHWAY","MAP2K2","ENSG00000126934"
"33","BIOCARTA_BARRESTIN_SRC_PATHWAY","MAPK1","ENSG00000100030"
"34","BIOCARTA_BARRESTIN_SRC_PATHWAY","MAPK3","ENSG00000102882"
"35","BIOCARTA_BARRESTIN_SRC_PATHWAY","PLCB1","ENSG00000182621"
"36","BIOCARTA_BARRESTIN_SRC_PATHWAY","RAF1","ENSG00000132155"
"37","BIOCARTA_CCR3_PATHWAY","CCL11","ENSG00000172156"
"38","BIOCARTA_CCR3_PATHWAY","CCR3","ENSG00000183625"
"39","BIOCARTA_CCR3_PATHWAY","GNAQ","ENSG00000156052"
"40","BIOCARTA_CCR3_PATHWAY","GNAS","ENSG00000087460"
"41","BIOCARTA_CCR3_PATHWAY","HRAS","ENSG00000174775"
"42","BIOCARTA_CCR3_PATHWAY","HRAS","ENSG00000276536"
"43","BIOCARTA_CCR3_PATHWAY","LIMK1","ENSG00000106683"
"44","BIOCARTA_CCR3_PATHWAY","MAP2K1","ENSG00000169032"
"45","BIOCARTA_CCR3_PATHWAY","MAPK1","ENSG00000100030"
"46","BIOCARTA_CCR3_PATHWAY","MAPK3","ENSG00000102882"
"47","BIOCARTA_CCR3_PATHWAY","MYL2","ENSG00000111245"
"48","BIOCARTA_CCR3_PATHWAY","NOX1","ENSG00000007952"
"49","BIOCARTA_CCR3_PATHWAY","PIK3C2G","ENSG00000139144"
"50","BIOCARTA_CCR3_PATHWAY","PLCB1","ENSG00000182621"
"51","BIOCARTA_CCR3_PATHWAY","PPP1R12B","ENSG00000077157"
"52","BIOCARTA_CCR3_PATHWAY","PRKCA","ENSG00000154229"
"53","BIOCARTA_CCR3_PATHWAY","PRKCB","ENSG00000166501"
"54","BIOCARTA_CCR3_PATHWAY","RAF1","ENSG00000132155"
"55","BIOCARTA_CCR3_PATHWAY","RHOA","ENSG00000067560"
"56","BIOCARTA_CCR3_PATHWAY","ROCK2","ENSG00000134318"
"57","BIOCARTA_CCR5_PATHWAY","CALM1","ENSG00000198668"
"58","BIOCARTA_CCR5_PATHWAY","CALM2","ENSG00000143933"
"59","BIOCARTA_CCR5_PATHWAY","CALM3","ENSG00000160014"
"60","BIOCARTA_CCR5_PATHWAY","CCL2","ENSG00000108691"
"61","BIOCARTA_CCR5_PATHWAY","CCL4","ENSG00000275302"
"62","BIOCARTA_CCR5_PATHWAY","CCL4","ENSG00000275824"
"63","BIOCARTA_CCR5_PATHWAY","CCL4","ENSG00000277943"
"64","BIOCARTA_CCR5_PATHWAY","CCR5","ENSG00000160791"
"65","BIOCARTA_CCR5_PATHWAY","CXCL12","ENSG00000107562"
"66","BIOCARTA_CCR5_PATHWAY","CXCR4","ENSG00000121966"
"67","BIOCARTA_CCR5_PATHWAY","FOS","ENSG00000170345"
"68","BIOCARTA_CCR5_PATHWAY","GNAQ","ENSG00000156052"
"69","BIOCARTA_CCR5_PATHWAY","JUN","ENSG00000177606"
"70","BIOCARTA_CCR5_PATHWAY","MAPK14","ENSG00000112062"
"71","BIOCARTA_CCR5_PATHWAY","MAPK8","ENSG00000107643"
"72","BIOCARTA_CCR5_PATHWAY","PLCG1","ENSG00000124181"
"73","BIOCARTA_CCR5_PATHWAY","PRKCA","ENSG00000154229"
"74","BIOCARTA_CCR5_PATHWAY","PRKCB","ENSG00000166501"
"75","BIOCARTA_CCR5_PATHWAY","PTK2B","ENSG00000120899"
"76","BIOCARTA_CD40_PATHWAY","CD40","ENSG00000101017"
"77","BIOCARTA_CD40_PATHWAY","CD40LG","ENSG00000102245"
"78","BIOCARTA_CD40_PATHWAY","CHUK","ENSG00000213341"
"79","BIOCARTA_CD40_PATHWAY","DUSP1","ENSG00000120129"
"80","BIOCARTA_CD40_PATHWAY","ELP1","ENSG00000070061"
"81","BIOCARTA_CD40_PATHWAY","IKBKB","ENSG00000104365"
"82","BIOCARTA_CD40_PATHWAY","IKBKG","ENSG00000269335"
"83","BIOCARTA_CD40_PATHWAY","MAP3K1","ENSG00000095015"
"84","BIOCARTA_CD40_PATHWAY","MAP3K14","ENSG00000006062"
"85","BIOCARTA_CD40_PATHWAY","MAP3K14","ENSG00000282637"
"86","BIOCARTA_CD40_PATHWAY","NFKB1","ENSG00000109320"
"87","BIOCARTA_CD40_PATHWAY","NFKBIA","ENSG00000100906"
"88","BIOCARTA_CD40_PATHWAY","RELA","ENSG00000173039"
"89","BIOCARTA_CD40_PATHWAY","TNFAIP3","ENSG00000118503"
"90","BIOCARTA_CD40_PATHWAY","TRAF3","ENSG00000131323"
"91","BIOCARTA_CD40_PATHWAY","TRAF6","ENSG00000175104"
"92","BIOCARTA_CDMAC_PATHWAY","CUZD1","ENSG00000138161"
"93","BIOCARTA_CDMAC_PATHWAY","FOS","ENSG00000170345"
"94","BIOCARTA_CDMAC_PATHWAY","HRAS","ENSG00000174775"
"95","BIOCARTA_CDMAC_PATHWAY","HRAS","ENSG00000276536"
"96","BIOCARTA_CDMAC_PATHWAY","JUN","ENSG00000177606"
"97","BIOCARTA_CDMAC_PATHWAY","MAP2K1","ENSG00000169032"
"98","BIOCARTA_CDMAC_PATHWAY","MAPK1","ENSG00000100030"
"99","BIOCARTA_CDMAC_PATHWAY","MAPK3","ENSG00000102882"
"100","BIOCARTA_CDMAC_PATHWAY","MYC","ENSG00000136997"
"101","BIOCARTA_CDMAC_PATHWAY","NFKB1","ENSG00000109320"
"102","BIOCARTA_CDMAC_PATHWAY","NFKBIA","ENSG00000100906"
"103","BIOCARTA_CDMAC_PATHWAY","PLCB1","ENSG00000182621"
"104","BIOCARTA_CDMAC_PATHWAY","PRKCA","ENSG00000154229"
"105","BIOCARTA_CDMAC_PATHWAY","PRKCB","ENSG00000166501"
"106","BIOCARTA_CDMAC_PATHWAY","RAF1","ENSG00000132155"
"107","BIOCARTA_CDMAC_PATHWAY","RELA","ENSG00000173039"
"108","BIOCARTA_CDMAC_PATHWAY","TNF","ENSG00000204490"
"109","BIOCARTA_CDMAC_PATHWAY","TNF","ENSG00000206439"
"110","BIOCARTA_CDMAC_PATHWAY","TNF","ENSG00000223952"
"111","BIOCARTA_CDMAC_PATHWAY","TNF","ENSG00000228321"
"112","BIOCARTA_CDMAC_PATHWAY","TNF","ENSG00000228849"
"113","BIOCARTA_CDMAC_PATHWAY","TNF","ENSG00000228978"
"114","BIOCARTA_CDMAC_PATHWAY","TNF","ENSG00000230108"
"115","BIOCARTA_CDMAC_PATHWAY","TNF","ENSG00000232810"
"116","BIOCARTA_CLASSIC_PATHWAY","C1QA","ENSG00000173372"
"117","BIOCARTA_CLASSIC_PATHWAY","C1QB","ENSG00000173369"
"118","BIOCARTA_CLASSIC_PATHWAY","C1QC","ENSG00000159189"
"119","BIOCARTA_CLASSIC_PATHWAY","C1R","ENSG00000159403"
"120","BIOCARTA_CLASSIC_PATHWAY","C1R","ENSG00000288512"
"121","BIOCARTA_CLASSIC_PATHWAY","C1S","ENSG00000182326"
"122","BIOCARTA_CLASSIC_PATHWAY","C2","ENSG00000166278"
"123","BIOCARTA_CLASSIC_PATHWAY","C2","ENSG00000204364"
"124","BIOCARTA_CLASSIC_PATHWAY","C2","ENSG00000206372"
"125","BIOCARTA_CLASSIC_PATHWAY","C2","ENSG00000226560"
"126","BIOCARTA_CLASSIC_PATHWAY","C2","ENSG00000231543"
"127","BIOCARTA_CLASSIC_PATHWAY","C2","ENSG00000235017"
"128","BIOCARTA_CLASSIC_PATHWAY","C2","ENSG00000235696"
"129","BIOCARTA_CLASSIC_PATHWAY","C3","ENSG00000125730"
"130","BIOCARTA_CLASSIC_PATHWAY","C4A","ENSG00000206340"
"131","BIOCARTA_CLASSIC_PATHWAY","C4A","ENSG00000227746"
"132","BIOCARTA_CLASSIC_PATHWAY","C4A","ENSG00000244207"
"133","BIOCARTA_CLASSIC_PATHWAY","C4A","ENSG00000244731"
"134","BIOCARTA_CLASSIC_PATHWAY","C4B","ENSG00000204319"
"135","BIOCARTA_CLASSIC_PATHWAY","C4B","ENSG00000206264"
"136","BIOCARTA_CLASSIC_PATHWAY","C4B","ENSG00000224389"
"137","BIOCARTA_CLASSIC_PATHWAY","C4B","ENSG00000224639"
"138","BIOCARTA_CLASSIC_PATHWAY","C4B","ENSG00000228267"
"139","BIOCARTA_CLASSIC_PATHWAY","C4B","ENSG00000228454"
